Employee_ID,First_Name,Last_Name,Age,Gender,Department,City,Salary,Experience_Years,Performance_Score,Education,Join_Date,Remote_Work,Bonus
EMP1000,Sara,Sharma,0.017881218331318584,Female,HR,PUNE,0.48347216237506824,0.005527094594206132,-0.013243649160826142,Bachelor,2021-08-15,Yes,-0.04772951812603022
EMP1001,Priya,Sharma,-1.3352920607954766,Male,SALES,HYDERABAD,0.6148186191240228,1.7139017873488376,-0.30294847455389784,Diploma,2021-08-10,Yes,1.1765040545404795
EMP1002,Nikhil,Singh,0.7911230921180586,Female,HR,BANGALORE,-1.4671897950961945,-1.099891824247026,-0.5512668963193876,PhD,2021-10-08,Yes,1.1678694706418162
EMP1003,Vikram,Verma,-1.1419815923487915,Female,SALES,PUNE,1.1807967710855414,0.6084828685076055,0.27646117623224553,Bachelor,2015-07-07,No,1.0401194792339297
EMP1004,Raj,Kumar,-1.2386368265721341,Female,MARKETING,DELHI,-0.590241282666507,0.005527094594206132,0.7317116161356436,Bachelor,2021-10-31,No,0.1439625873791585
EMP1005,Pooja,Singh,0.017881218331318584,Female,OPERATIONS,PUNE,1.038494374026463,-1.4013697112037258,-1.006517336222786,Bachelor,2024-01-11,No,-0.3547922196050596
EMP1006,Raj,Kumar,1.6610202001281413,Female,OPERATIONS,CHENNAI,-0.24423462819869005,-0.09496553439136042,-1.3376085652434393,PhD,2023-05-18,Yes,1.5080393066806261
EMP1007,Rohit,Gupta,-0.465394952785394,Male,MARKETING,MUMBAI,-1.2664444643743318,-0.6979213083047597,1.0628028451562967,Diploma,2021-09-08,No,-0.41629438269670416
EMP1008,Divya,Mehta,1.3710544974581138,Female,IT,PUNE,0.7312603837276045,0.4074976105364724,-1.4617677761261842,Diploma,2016-10-09,No,-1.8472822179664368
EMP1009,Karan,Verma,-0.7553606554554215,Male,OPERATIONS,DELHI,0.770119899339422,1.7139017873488376,1.6835988995700217,Bachelor,2021-09-19,No,-0.026824112664931992
EMP1010,Sara,Gupta,0.017881218331318584,Male,HR,MUMBAI,0.10161484977132182,1.412423900392138,1.1455756524114606,Master,2016-06-09,No,-0.04772951812603022
EMP1011,Kavya,Singh,-0.27208448433870897,Female,SALES,PUNE,-0.44419196667987654,0.6084828685076055,-0.26156207092631595,Diploma,2016-05-10,No,-1.0166743335088106
EMP1012,Arjun,Sharma,1.5643649659047987,Male,HR,MUMBAI,0.33115969699489756,0.005527094594206132,-1.006517336222786,Bachelor,2024-08-22,No,-1.593687213079839
EMP1013,Pooja,Joshi,0.017881218331318584,Female,SALES,PUNE,0.14779871985582313,-0.19545816337692698,1.0628028451562967,Diploma,2017-02-18,No,-1.4958917658142288
EMP1014,Sneha,Gupta,0.7911230921180586,Female,OPERATIONS,PUNE,1.510543217973891,-1.099891824247026,-1.6686997942640924,PhD,2023-12-24,No,-0.9268107010819818
EMP1015,Ravi,Verma,0.017881218331318584,Male,HR,CHENNAI,1.1441662080902548,-1.300877082218159,-0.013243649160826142,Diploma,2024-01-23,No,-1.6697106379818554
EMP1016,Kavya,Sharma,-1.3352920607954766,Male,MARKETING,CHENNAI,1.111311045669774,-1.4013697112037258,-1.2548357579882758,Bachelor,2019-05-19,Yes,1.6156675985734061
EMP1017,Vikram,Joshi,0.7911230921180586,Female,HR,DELHI,0.15771525585383692,1.7139017873488376,-1.6686997942640924,PhD,2015-08-23,Yes,0.3316394337051338
EMP1018,Suresh,Verma,-0.8520158896787641,Male,IT,MUMBAI,-1.5499827790342238,-0.19545816337692698,-0.3857212818090612,Master,2021-06-29,Yes,0.4636810541472435
EMP1019,Sneha,Nair,1.6610202001281413,Female,HR,DELHI,-0.4549028241735113,0.20651235256533926,-0.17878926367115291,Bachelor,2015-02-08,No,0.4703494639345514
EMP1020,Manish,Patel,-1.431947295018819,Male,FINANCE,BANGALORE,1.1601475768268592,0.6084828685076055,-0.7995853180848775,Diploma,2024-05-08,Yes,-0.04772951812603022
EMP1021,Divya,Verma,-1.8185682319121892,Female,HR,MUMBAI,0.7029963925193097,-0.7984139372903263,-0.8409717217124593,Master,2023-01-18,No,-1.0958148155612593
EMP1022,Karan,Verma,0.017881218331318584,Female,IT,BANGALORE,-1.7651577561552954,-0.8989065662758929,0.4833931943701538,PhD,2016-10-23,No,0.20975243136424104
EMP1023,Sneha,Verma,-1.8185682319121892,Male,OPERATIONS,HYDERABAD,1.0109128874764244,1.8143944163344041,-1.3376085652434393,Master,2015-06-21,Yes,-0.491743353114379
EMP1024,Priya,Gupta,-0.5620501870087364,Male,FINANCE,HYDERABAD,-1.2607256309060781,0.005527094594206132,1.6008260923148587,Master,2023-12-21,No,1.4465035843923015
EMP1025,Nikhil,Singh,0.2111916867780036,Female,FINANCE,PUNE,2.838014294797662,-1.5018623401892923,1.3111212669217867,Master,2017-03-28,No,-0.5479786963976941
EMP1026,Pooja,Kumar,0.017881218331318584,Male,MARKETING,BANGALORE,1.4528330713836497,0.005527094594206132,-0.5512668963193876,Diploma,2022-08-15,No,1.6633749577592756
